# Column 0: Emin [MeV]
# Column 1: Emax [MeV]
# Column 2: E^2 times Differential Flux Sensitivity [erg cm^{-2} s^{-1}]
# Column 3: E^2 times Differential Flux Sensitivity Error [erg cm^{-2} s^{-1}]
    31.623     56.234 6.7432e-12          0
    56.234        100 3.3334e-12          0
       100     177.83 2.0066e-12          0
    177.83     316.23   1.36e-12          0
    316.23     562.34 9.5496e-13          0
    562.34       1000 6.7814e-13          0
      1000     1778.3 5.0304e-13          0
    1778.3     3162.3  4.308e-13          0
    3162.3     5623.4 4.3108e-13          0
    5623.4      10000 4.9048e-13          0
     10000      17783 8.7148e-13          0
     17783      31623 1.5419e-12          0
     31623      56234 2.6625e-12          0
     56234      1e+05 4.7284e-12          0
     1e+05 1.7783e+05 8.4668e-12          0
1.7783e+05 3.1623e+05 1.5134e-11          0
3.1623e+05 5.6234e+05 2.7314e-11          0
5.6234e+05      1e+06 5.1825e-11          0
